topic,n_docs,n_nonnull,mean_citations,median_citations,std_citations,min_citations,max_citations
0,463,463,1.3563714902807775,0.0,3.227385088743966,0,45
1,2300,2300,1.1856521739130435,0.0,3.8194191730383924,0,68
2,172,172,0.8313953488372093,0.0,1.679094829104193,0,12
3,509,509,0.8349705304518664,0.0,1.8337053858358006,0,24
4,496,496,1.0080645161290323,0.0,2.2174549712146603,0,26
5,393,393,1.3969465648854962,0.0,2.6916709853854672,0,19
6,466,466,0.907725321888412,0.0,1.750595713563434,0,15
7,273,273,0.7728937728937729,0.0,1.4676905301700314,0,8
8,234,234,0.6623931623931624,0.0,1.3042174241264786,0,10
9,340,340,0.9,0.0,2.626504344893857,0,32
10,270,270,0.9777777777777777,0.0,1.9604516081899401,0,14
11,802,802,0.7219451371571073,0.0,1.4623846948521688,0,13
12,216,216,0.9351851851851852,0.0,2.523464389224955,0,26
13,678,678,1.0663716814159292,0.0,2.152945587700405,0,18
14,515,515,2.015533980582524,1.0,4.04398860397702,0,37
15,317,317,1.220820189274448,0.0,2.3279687638941917,0,17
16,186,186,0.8763440860215054,0.0,2.440819439249632,0,28
