topic,n_docs,n_nonnull,mean_family,median_family,std_family,min_family,max_family
0,463,463,1.2764578833693305,1.0,0.5747451739660296,1,5
1,2300,2300,1.9191304347826086,1.0,2.093815149304277,1,48
2,172,172,1.5465116279069768,1.0,1.1461297880659376,1,10
3,509,509,1.2730844793713163,1.0,0.863796392337984,1,13
4,496,496,1.284274193548387,1.0,0.5447960209693117,1,7
5,393,393,1.3104325699745547,1.0,0.6890677421140864,1,8
6,466,466,1.2746781115879828,1.0,0.5807692372343054,1,6
7,273,273,1.1684981684981686,1.0,0.3941161194643443,1,3
8,234,234,1.2264957264957266,1.0,0.5116485452800957,1,4
9,340,340,1.3794117647058823,1.0,1.0944427635527778,1,16
10,270,270,1.2925925925925925,1.0,0.5780533451450672,1,5
11,802,802,1.1845386533665836,1.0,0.4450985376766356,1,5
12,216,216,1.6064814814814814,1.0,1.4872339330947546,1,19
13,678,678,1.2920353982300885,1.0,0.5830913784422233,1,6
14,515,515,1.2737864077669903,1.0,0.5373159199850367,1,5
15,317,317,1.3091482649842272,1.0,0.5268231455451692,1,5
16,186,186,1.424731182795699,1.0,0.6126867572274077,1,5
