topic,legal_status,n_docs
0,ACTIVE,73
0,PENDING,390
1,ACTIVE,166
1,PATENTED,1
1,PENDING,2133
2,ACTIVE,38
2,PENDING,134
3,ACTIVE,68
3,PENDING,441
4,ACTIVE,104
4,PENDING,392
5,ACTIVE,81
5,PENDING,312
6,ACTIVE,72
6,PENDING,394
7,ACTIVE,31
7,PENDING,242
8,ACTIVE,35
8,PENDING,199
9,ACTIVE,57
9,PATENTED,1
9,PENDING,282
10,ACTIVE,56
10,PENDING,214
11,ACTIVE,103
11,PENDING,699
12,ACTIVE,26
12,PENDING,190
13,ACTIVE,129
13,PENDING,549
14,ACTIVE,99
14,PENDING,416
15,ACTIVE,82
15,PENDING,235
16,ACTIVE,50
16,PENDING,136
