year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1996,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2011,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2013,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
2014,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
2016,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2017,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2021,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2022,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,30,49,9,36,20,31,34,19,11,16,17,34,11,43,38,8,2
2024,208,491,68,217,226,161,220,116,105,128,110,341,55,335,256,142,70
2025,224,1746,93,253,248,199,212,138,117,192,143,427,149,300,221,167,114
